author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Plus Development;developer;https://www.cian.ru/sale/flat/311082772/;Москва;sale;flat;7;23;2;61.7;13676762;;;;Филатов Луг;Детали ЖК
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/310520312/;Москва;sale;flat;5;30;2;56.3;13581925;Чертаново Южное;;1.1;Аннино;Варшавские Ворота ЖК
ПИК;developer;https://www.cian.ru/sale/flat/313536433/;Москва;sale;flat;3;16;2;49.7;13697518;;;;Филатов Луг;Саларьево парк
ПИК;developer;https://www.cian.ru/sale/flat/315526173/;Москва;sale;flat;11;16;2;50.5;13670754;;;;Филатов Луг;Саларьево парк
ПИК;developer;https://www.cian.ru/sale/flat/315784725/;Москва;sale;flat;3;15;2;48.0;13586400;;;;Филатов Луг;Саларьево парк
;;https://www.cian.ru/sale/flat/314652868/;Москва;sale;flat;2;16;2;57.54;13624656;Молжаниновский;;к4;Новоподрезково;Молжаниново ЖК
;;https://www.cian.ru/sale/flat/316149178/;Москва;sale;flat;11;16;2;41.2;13581971;;;к2.1;Коммунарка;Ольховый Квартал ЖК
Самолет;developer;https://www.cian.ru/sale/flat/316094194/;Москва;sale;flat;3;14;2;51.8;13560050;;переулок Любучанский;1к3;Щербинка;Остафьево
ПИК;developer;https://www.cian.ru/sale/flat/315574287/;Москва;sale;flat;2;18;2;49.7;13601200;;;;Филатов Луг;Саларьево Парк ЖК
Колди;developer;https://www.cian.ru/sale/flat/304735489/;Москва;sale;flat;18;21;2;44.84;13698664;Нижегородский;;;Калитники;Н'айс Лофт ЖК
ПИК;developer;https://www.cian.ru/sale/flat/306979999/;Москва;sale;flat;3;24;2;53.6;13694800;Тимирязевский;к3.6;к3.6;Окружная;Большая Академическая 85 ЖК
ПИК;developer;https://www.cian.ru/sale/flat/303687849/;Москва;sale;flat;8;9;2;65.5;13688976;; Братьев Бромлей;5к2;Филатов Луг;Середневский лес
;;https://www.cian.ru/sale/flat/312775918/;Москва;sale;flat;7;24;2;37.01;13699815;Соколиная гора;;;Измайлово;Измайловский Парк ЖК
Основа;developer;https://www.cian.ru/sale/flat/286886031/;Москва;sale;flat;5;20;2;50.7;13739700;Северный;Новодачная ;67/68;Новодачная;ФизтехСити
Основа;developer;https://www.cian.ru/sale/flat/310633888/;Москва;sale;flat;2;20;2;40.2;13788600;Преображенское;Потешная ;вл5с1;Преображенская площадь;EvoPark Сокольники
INGRAD;developer;https://www.cian.ru/sale/flat/315728365/;Москва;sale;flat;1;22;2;64.4;13780000;;;к5;Саларьево;Филатов Луг ЖК
ID 129513127;developer;https://www.cian.ru/sale/flat/315709383/;Москва;sale;flat;1;14;2;46.0;13752000;;;;Десна;Новые Ватутинки. Квартал у реки
Колди;developer;https://www.cian.ru/sale/flat/304735365/;Москва;sale;flat;4;21;2;44.56;13771268;Нижегородский;Автомобильный проезд;4;Калитники;N’ICE LOFT
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/304057579/;Москва;sale;flat;4;20;2;59.5;13780686;;;3;Филатов Луг;Город-парк Первый Московский
ТПУ Рассказовка;developer;https://www.cian.ru/sale/flat/316192135/;Москва;sale;flat;2;19;2;49.26;13702980;;;к1;Рассказовка;Городские Истории ЖК
1-й ДСК;developer;https://www.cian.ru/sale/flat/315511783/;Москва;sale;flat;12;18;2;51.2;;;;2;Корниловская;1-й Ясеневский ЖК
ПИК;developer;https://www.cian.ru/sale/flat/309528523/;Москва;sale;flat;3;11;2;64.6;13759800;Южное Бутово;;;Щербинка;Никольские Луга ЖК
ПИК;developer;https://www.cian.ru/sale/flat/313536630/;Москва;sale;flat;2;18;2;53.5;13740726;;;;Филатов Луг;Саларьево Парк ЖК
Самолет;developer;https://www.cian.ru/sale/flat/314221384/;Москва;sale;flat;3;14;2;56.15;13743704;; Любучанская;;Щербинка;Остафьево
ID 124840826;homeowner;https://www.cian.ru/sale/flat/313235130/;Москва;sale;flat;11;17;2;63.8;13799000;Некрасовка;Покровская ;21;Некрасовка;Некрасовка-Парк
Татьяна Скребутене;realtor;https://www.cian.ru/sale/flat/315533707/;Москва;sale;flat;15;18;2;57.0;13700000;Некрасовка; Вертолетчиков;21к3;Некрасовка;мой адрес На Вертолетчиков
Стройинвест;representative_developer;https://www.cian.ru/sale/flat/313069047/;Москва;sale;flat;23;25;2;63.8;13730005;Некрасовка; Липчанского;10;Некрасовка;Некрасовка
Plus Development;developer;https://www.cian.ru/sale/flat/311081861/;Москва;sale;flat;4;23;2;60.8;13756882;;;;Филатов Луг;Детали ЖК
ПИК;developer;https://www.cian.ru/sale/flat/313742583/;Москва;sale;flat;12;25;2;56.8;13757414;Крюково;Зеленоград;6.4;Зеленоград — Крюково;Зелёный парк
Премьер Плюс;real_estate_agent;https://www.cian.ru/sale/flat/315666091/;Москва;sale;flat;9;9;2;46.0;13900000;Выхино-Жулебино;Ташкентская ;16К1;Юго-Восточная;
1-й ДСК;developer;https://www.cian.ru/sale/flat/315511794/;Москва;sale;flat;5;16;2;54.2;;;;1;Корниловская;1-й Ясеневский ЖК
3SGroup;developer;https://www.cian.ru/sale/flat/299381366/;Москва;sale;flat;16;17;2;52.5;13891817;;;;Корниловская;FOREVILLE
ПИК;developer;https://www.cian.ru/sale/flat/316197027/;Москва;sale;flat;7;17;2;59.2;13823200;; Мостотреста;10к1;Щербинка;Юнино
;;https://www.cian.ru/sale/flat/312782019/;Москва;sale;flat;22;30;2;39.5;13898476;Нагатино-Садовники;;;Нагатинская;Билак Коломенское ЖК
Абсолют Недвижимость;developer;https://www.cian.ru/sale/flat/309051318/;Москва;sale;flat;18;20;2;63.8;13922836;;;3;Филатов Луг;Город-парк Первый Московский
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/300756417/;Москва;sale;flat;2;30;2;61.0;13932888;Чертаново Южное;;1.1;Аннино;Варшавские Ворота ЖК
ТПУ Рассказовка;developer;https://www.cian.ru/sale/flat/313624728/;Москва;sale;flat;3;19;2;50.83;13896643;;;;Рассказовка;Городские Истории ЖК
ПИК;developer;https://www.cian.ru/sale/flat/315175499/;Москва;sale;flat;5;18;2;51.8;13853599;;;;Филатов Луг;Саларьево парк
ID 107641596;unknown;https://www.cian.ru/sale/flat/312459518/;Москва;sale;flat;7;12;2;52.0;13800000;Котловка;Нахимовский проспект;27К2;Нахимовский проспект;
1-й ДСК;developer;https://www.cian.ru/sale/flat/315511823/;Москва;sale;flat;9;16;2;54.8;;;;1;Корниловская;1-й Ясеневский ЖК
