author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/315766081/;Санкт-Петербург;sale;flat;2;17;1;31.69;9600169;Невский;Октябрьская набережная;;Елизаровская;SETL Ривьера
КВС;developer;https://spb.cian.ru/sale/flat/308057822/;Санкт-Петербург;sale;flat;2;4;1;35.78;7980668;Петродворцовый;м. Ленинский проспект;;Ленинский проспект;Любоград ЖК
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/314736871/;Санкт-Петербург;sale;flat;7;12;1;32.65;9700054;Приморский;Коломяги;;Озерки;Прайм Приморский ЖК
Самолет Плюс Санкт-Петербург Лиговский пр-кт;real_estate_agent;https://spb.cian.ru/sale/flat/310431299/;Санкт-Петербург;sale;flat;12;24;1;36.5;6500000;Невский; Русановская;18к6;Ломоносовская;ЦДС Приневский
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/313208710/;Санкт-Петербург;sale;flat;2;12;1;37.0;10356300;Красногвардейский;Большая Охта;;Ладожская;ЛСР Большая Охта ЖК
Самолет Плюс СПБ Приморский;real_estate_agent;https://spb.cian.ru/sale/flat/315400320/;Санкт-Петербург;sale;flat;5;5;1;35.8;6500000;Приморский;проспект Юнтоловский;53К4;Беговая;Юнтолово
К-25;developer;https://spb.cian.ru/sale/flat/294914004/;Санкт-Петербург;sale;flat;3;12;1;25.66;6363680;Приморский;Камышовая ;25;Комендантский проспект;YE'S Primorsky Комплекс Апартаментов
АУРУМ;real_estate_agent;https://spb.cian.ru/sale/flat/299466214/;Санкт-Петербург;sale;flat;6;18;1;40.5;6500000;Красногвардейский;Ковалевская ;26;Ладожская;Стереос
СМИРНОВ и К;real_estate_agent;https://spb.cian.ru/sale/flat/312907445/;Санкт-Петербург;sale;flat;4;9;1;30.7;6700000;Красногвардейский;Апрельская ;6к1;Новочеркасская;
КВС;developer;https://spb.cian.ru/sale/flat/301449381/;Санкт-Петербург;sale;flat;2;5;1;34.9;7243688;Пушкинский;;;Звездная;ЮгТаун ЖК
LUNA ESTATE;real_estate_agent;https://spb.cian.ru/sale/flat/315138235/;Санкт-Петербург;sale;flat;11;15;1;35.0;6699999;Выборгский;проспект Художников;29К2;Проспект Просвещения;
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/312285577/;Санкт-Петербург;sale;flat;2;11;1;37.6;14163920;Адмиралтейский;Измайловское;;Фрунзенская;ЛСР. Измайловский
Невский простор;real_estate_agent;https://spb.cian.ru/sale/flat/315378400/;Санкт-Петербург;sale;flat;4;5;1;32.4;6750000;Московский; Меридианная;6к1;Звездная;Зеленый квартал на Пулковских высотах
КВС;developer;https://spb.cian.ru/sale/flat/315258002/;Санкт-Петербург;sale;flat;2;10;1;34.72;16104550;Фрунзенский;Курская ;27;Обводный канал;Дом на Курской
А и Б Агентство Недвижимости и Бизнес партнёры;real_estate_agent;https://spb.cian.ru/sale/flat/314620201/;Санкт-Петербург;sale;flat;6;9;1;31.0;6750000;Калининский;Светлановский проспект;60К1;Гражданский проспект;
ЦАРСКОСЕЛЬСКИЙ ДОМ;real_estate_agent;https://spb.cian.ru/sale/flat/310787862/;Санкт-Петербург;sale;flat;1;5;1;28.3;4400000;Пушкинский;бульвар Алексея Толстого;9;Купчино;
NEDmax;real_estate_agent;https://spb.cian.ru/sale/flat/312936573/;Санкт-Петербург;sale;flat;7;9;1;41.7;19500000;Петроградский;Петровский проспект;24к1;Крестовский остров;Петровский квартал на воде
Юрий Шадеко;realtor;https://spb.cian.ru/sale/flat/315571130/;Санкт-Петербург;sale;flat;12;18;1;42.0;14000000;Приморский;переулок Ипподромный;1к1;Пионерская;Приморский квартал
Омега;real_estate_agent;https://spb.cian.ru/sale/flat/312193296/;Санкт-Петербург;sale;flat;10;14;1;42.5;9750000;Приморский;аллея Арцеуловская;19;Комендантский проспект;Чистое небо
ID 76405921;homeowner;https://spb.cian.ru/sale/flat/315612419/;Санкт-Петербург;sale;flat;2;15;1;32.3;6200000;Выборгский; Симонова;12К3;Проспект Просвещения;
ДомИн;real_estate_agent;https://spb.cian.ru/sale/flat/314385052/;Санкт-Петербург;sale;flat;18;25;1;36.0;8390000;Невский;проспект Александровской фермы;8;Пролетарская;Green City
ID 129589826;homeowner;https://spb.cian.ru/sale/flat/315828271/;Санкт-Петербург;sale;flat;9;16;1;34.8;7300000;Московский;Пулковское шоссе;42к6;Звездная;ЦДС Московский
ЛСР Санкт-Петербург;developer;https://spb.cian.ru/sale/flat/312667031/;Санкт-Петербург;sale;flat;2;4;1;33.7;7444330;Пушкинский;;;Купчино;Пулково Lake ЖК
ПАН Партнер;real_estate_agent;https://spb.cian.ru/sale/flat/313034629/;Санкт-Петербург;sale;flat;6;9;1;49.9;11500000;Приморский;набережная Реки Каменки;7к3;Проспект Просвещения;Новоорловский
ID 96303831;homeowner;https://spb.cian.ru/sale/flat/314237589/;Санкт-Петербург;sale;flat;5;10;1;47.1;10000500;Выборгский; Симонова;4к1;Проспект Просвещения;
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/315765685/;Санкт-Петербург;sale;flat;6;21;1;31.51;10500203;Невский; Архивная;6;Проспект Большевиков;Pulse Premier
ID 129678365;homeowner;https://spb.cian.ru/sale/flat/316038015/;Санкт-Петербург;sale;flat;9;12;1;32.55;13699000;Василеостровский;Уральская ;25;Приморская;Amber Club
Петербургская Недвижимость;representative_developer;https://spb.cian.ru/sale/flat/316024259/;Санкт-Петербург;sale;flat;4;10;1;34.31;11000181;Московский;1-й Предпортовый проезд;1;Ленинский проспект;Сенат
Александр Осипов;realtor;https://spb.cian.ru/sale/flat/276408468/;Санкт-Петербург;sale;flat;11;26;1;35.0;7777000;Выборгский; Михаила Дудина;10;Парнас;Бумеранг
Л1 строительная компания №1;developer;https://spb.cian.ru/sale/flat/314550297/;Санкт-Петербург;sale;flat;7;23;1;41.2;9665706;Выборгский; Руднева;18;Проспект Просвещения;Шекспир
Инженер;real_estate_agent;https://spb.cian.ru/sale/flat/313480057/;Санкт-Петербург;sale;flat;8;9;1;31.5;6000000;Калининский;Бестужевская ;31к1;Лесная;
